[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0];[4.673436009872272e-11, 0.0, 0.0, 2.9294275111619766e-18, 0.0, 0.0, 0.9999999984217179];./data/train/73/E811294616_179_5_73.png
[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0];[0.0, 0.0, 0.9999999975811559, 0.0, 0.0, 0.0, 0.0];./data/train/62/C811462910_1_1_62.png
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];[1.6759374775644114e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0000000023186173];./data/train/73/81_20180228_130130_11071_0_73.png
[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0];[2.553023788251592e-09, 0.0, 6.010226599712954e-23, 0.0, 0.0, 0.999999994599337, 0.0];./data/train/72/G811627867_12833_4_72.png
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];[2.779228153191603e-20, 1.000000000683102, 0.0, 0.0, 0.0, 0.0, 0.0];./data/train/61/F811432016_8724_0_61.png
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];[0.0, 1.0000000093946686, 0.0, 9.357479345360128e-24, 0.0, 0.0, 0.0];./data/train/61/H811325373_4636_7_61.png
[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0];[0.0, 7.741934676563374e-10, 0.0, 0.9999999993593218, 0.0, 7.591129738531129e-13, 0.0];./data/train/63/F811327531_16384_0_63.png
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];[5.4497742012250075e-18, 7.888265769270795e-22, 0.0, 0.0, 0.0, 0.0, 0.999999994542231];./data/train/73/H811591331_18333_0_73.png
[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0];[1.6757708055774613e-20, 0.9999981166531474, 0.0, 2.899733060036813e-12, 0.0, 1.8862314156023132e-06, 0.0];./data/train/61/81_20180211_144656_5165_0_61.png
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0];[0.0, 0.0, 0.9999999968398214, 0.0, 0.0, 0.0, 6.105719402752296e-17];./data/train/62/81_20180315_195722_1817_0_62.png
